FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD4-FITC-A,IFN-IL2-PE-A,CD8-PerCP-Cy5-5-A,CD3-APC-A,Time-T,category
130374,114595,74560,50518,45352,73001,27540,19945,62257,74138,0,0
103124,90153,74965,23223,21901,69493,53137,27597,31574,67702,0,0
150263,128956,76364,34526,31432,71988,24575,22825,48884,65936,0,0
113972,99158,75327,23709,21490,72304,55391,34512,38224,71974,0,0
91680,76188,78862,65175,59304,72024,22581,22985,60848,72587,0,0
124068,108724,74784,31108,27796,73345,24789,21572,51741,65482,0,0
130832,110220,77792,55758,50824,71898,58918,36939,34290,68442,0,0
160006,135766,77237,35781,32594,71944,54417,32556,32668,68942,0,0
140749,119485,77199,35138,32381,71116,53924,34258,30362,68886,0,0
87099,71667,79648,46395,42503,71537,23456,21485,57159,72701,0,0
107882,92879,76122,27840,25055,72823,53381,33629,33213,70891,0,0
107407,88667,79387,40857,35615,75181,56071,34882,35002,70427,0,0
106263,91037,76497,42788,38585,72675,22744,20039,20594,33219,0,0
145790,125435,76171,58274,54139,70541,29008,18885,29110,33733,0,0
55712,42335,86244,59316,48271,80532,38158,29211,37087,25840,0,0
92292,79174,76394,28727,26946,69869,52921,33283,38399,72736,0,0
124427,103105,79089,54856,49018,73342,60445,37354,39920,74156,0,0
173457,146153,77779,40617,37257,71446,52741,33353,31241,69018,0,0
133019,115060,75765,24231,23056,68878,55589,35151,35327,73222,0,0
150187,128954,76327,58993,54398,71072,22334,22581,62624,74217,0,0
146348,129727,73932,37200,34331,71013,57940,34322,38136,74876,0,0
118415,100689,77073,43746,39713,72191,56035,32816,34790,73952,0,0
187639,131505,93510,116768,92337,82875,47610,37637,40213,42498,0,0
151776,128776,77241,43989,40520,71147,55846,34972,37706,67906,0,0
139161,118859,76730,41816,38735,70750,59319,37660,37013,73523,0,0
57179,45093,83102,66981,54197,80995,28484,18083,25681,22061,0,0
104716,88709,77362,24078,21877,72130,51707,30407,29704,64047,0,0
128214,112942,74397,55563,49866,73023,27540,45403,41873,35595,1,0
147932,131008,74002,40531,36576,72623,20226,16729,57824,68303,1,0
111133,94328,77212,45905,41820,71937,56955,36191,32481,68437,1,0
154892,131388,77260,69260,61820,73423,58314,36533,37889,71183,1,0
96488,81869,77238,42924,38793,72515,55217,34161,38945,73613,1,0
77089,57925,87218,175503,112949,101831,35500,32594,39522,36742,1,0
122412,103332,77637,43039,39104,72131,58326,35557,36610,70026,1,0
129879,110851,76786,37411,34323,71433,55019,33731,36789,71914,1,0
201940,159311,83072,111777,96123,76209,38268,31283,39287,37407,1,0
104953,88635,77601,62769,55535,74073,25814,23763,60633,72757,1,0
159069,136147,76569,60464,55939,70837,22744,20865,27307,31907,1,0
108496,90881,78239,45303,40289,73692,57405,35032,36610,73576,1,0
133267,118684,73588,30266,27772,71422,21045,16835,28537,24262,1,0
98055,85445,75208,29584,26001,74568,53839,32962,35947,72667,1,0
148980,130429,74857,37352,34269,71433,22417,16192,56489,64796,1,0
124673,102728,79536,34530,31980,70763,54979,32816,30543,68823,1,0
112641,88435,83474,42515,32759,85053,30407,25879,28905,38912,1,0
150475,130463,75588,62669,55103,74534,27069,19276,33353,30381,1,0
108768,93160,76516,32560,29724,71789,56713,35385,34636,68286,1,0
106236,91365,76203,37898,34689,71600,56368,34030,36164,72501,1,0
109127,92248,77527,33563,31196,70509,25879,23839,54267,70963,1,0
49223,41213,78273,47880,41209,76146,29848,21310,28749,25314,1,0
128283,110909,75802,80392,73833,71358,26456,15758,30453,35139,1,0
130999,114128,75224,56461,50560,73185,59970,38633,39939,72262,1,0
121179,99545,79779,42382,39373,70545,25208,24431,39920,73806,1,0
111837,97824,74924,57372,49472,76001,59747,37567,36110,72731,1,0
135093,110653,80010,72131,64557,73225,28484,22000,35585,33434,1,0
102540,89744,74880,31681,29216,71067,54607,31574,30588,70525,1,0
119701,102405,76605,40197,37441,70361,57502,35413,35947,75262,1,0
151824,128409,77486,43832,40585,70780,25000,21398,57570,69677,1,0
174137,151696,75231,51530,49444,68302,16300,21045,48279,67198,1,0
137898,119929,75355,21766,20717,68857,50868,29411,31492,64927,1,0
88281,78102,74077,42574,39362,70883,55441,32705,30853,67848,1,0
172590,142744,79239,157015,119116,86387,56284,39939,40689,42346,1,0
163243,145854,73349,59010,54910,70430,24860,15758,27365,16521,1,0
245759,128313,125521,118703,60057,129532,58104,36376,48126,72226,1,0
52069,40221,84842,94614,80301,77217,41626,31283,37401,37633,1,0
58806,54033,71325,31882,29825,70057,21830,19373,25000,65315,1,0
53531,37669,93133,61094,50869,78709,24789,24860,35413,32874,1,0
60055,56328,69873,12390,11804,68794,16515,15097,27937,24890,2,0
168579,144853,76270,34864,32753,69760,53730,32017,36137,66851,2,0
162587,140087,76062,50708,45831,72511,56652,33595,37449,69464,2,0
99121,82518,78722,33120,29538,73484,54788,33248,33697,69500,2,0
125976,106214,77729,36827,34066,70848,59375,37637,39883,76401,2,0
110513,94474,76662,46525,41742,73045,20318,19276,26456,27255,2,0
130421,109819,77830,16864,14511,76163,22663,20955,22499,24642,2,0
130329,112730,75767,48938,43818,73194,55783,33898,32095,67004,2,0
172419,136842,82574,93996,77934,79043,40994,33898,40689,39334,2,0
149835,137035,71657,58379,51947,73651,28591,20865,23989,31299,2,0
62232,53398,76378,38143,35266,70884,25814,13750,21222,22852,2,0
146669,127634,75310,39578,36562,70943,19469,19756,27482,23540,2,0
190881,137418,91033,204397,162622,82371,43402,37752,44795,49785,2,0
112054,90497,81147,50921,40577,82242,22168,19276,20775,33908,2,0
171083,147652,75936,25433,24064,69266,22663,21485,54018,69552,2,0
262143,218376,78670,97445,58972,108291,63556,41483,40568,79724,2,0
112086,95035,77294,29613,27611,70289,55228,31977,31492,73785,2,0
118493,101031,76863,53695,47639,73868,20955,22084,60675,75353,2,0
198090,173092,75000,38047,35232,70772,20502,17466,48671,68686,2,0
100128,86577,75794,26548,23921,72733,57530,36137,31533,68040,2,0
146829,130368,73811,35227,32128,71857,51617,31938,36507,67850,2,0
262143,132932,129237,115988,69264,109745,55252,38002,40758,67220,2,0
146060,122899,77886,33986,31559,70577,21398,24138,47863,71061,2,0
48626,43733,72869,15076,14769,66898,13976,17152,21398,26782,2,0
141380,127582,72623,52927,48494,71527,22581,17673,37330,27761,2,0
46273,42227,71815,19151,18835,66638,18286,17047,13636,23740,2,0
114913,99317,75827,44422,41477,70190,56361,34851,29896,67565,2,0
104561,90600,75635,55852,50108,73049,25277,21744,37161,69381,2,0
128011,113168,74132,23575,22228,69509,53698,29509,26519,69902,2,0
196257,169190,76020,33480,30994,70792,52956,31615,28159,61109,2,0
248073,130100,124963,126901,59124,140663,59604,41044,45520,76848,2,0
121482,106336,74870,57095,51104,73220,58614,36687,35528,69750,2,0
118849,104516,74523,38607,33184,76246,26581,19373,35356,30617,2,0
73725,57916,83425,57300,50248,74734,24718,17047,18387,18252,2,0
