x,y,category
59267,96541,0
90223,13938,0
45063,63615,0
51817,23851,0
29920,55374,0
84153,11939,0
99831,60129,0
52340,77333,0
89587,18233,0
55713,67862,0
8362,27145,0
46283,461,0
54130,60672,0
91059,32193,0
19240,8889,0
54672,73636,0
35386,43233,0
27627,63159,0
55215,88863,0
47767,72119,0
196,41357,0
79364,88320,0
3121,78068,0
1306,60347,0
31265,54393,0
71566,42106,0
97099,36131,0
27700,60274,0
37916,86812,0
90567,17887,0
21676,64232,0
88341,63254,0
72610,12448,0
24175,28138,0
11514,99617,0
26702,35302,0
12521,35407,0
80744,35671,0
53624,56265,0
92115,91338,0
66570,22212,0
24075,6693,0
55314,37145,0
5999,91008,0
39965,48618,0
84647,20295,0
46080,43769,0
26001,92533,0
7591,97626,0
43066,69120,0
50267,69333,0
23217,75871,0
84937,54385,0
98332,35752,0
43174,50819,0
61969,30780,0
12913,6855,0
1497,69828,0
12326,59631,0
88425,35618,0
37538,58958,0
32479,64095,0
52098,56988,0
96325,90657,0
48383,71781,0
92184,21162,0
71250,63402,0
88596,45972,0
40139,36832,0
22617,6836,0
93600,94391,0
11613,33280,0
20193,35770,0
21462,44234,0
28357,20536,0
30129,19430,0
85048,36014,0
73363,52040,0
94694,45894,0
32411,55860,0
94797,76462,0
15622,22987,0
31142,31411,0
66692,40795,0
87635,63068,0
90360,56698,0
73494,16260,0
2095,30665,0
46982,13135,0
44839,87640,0
41641,42711,0
9202,13548,0
19922,95542,0
43797,31815,0
99310,90768,0
63458,54345,0
62719,93320,0
16685,61730,0
20970,5267,0
28044,19914,0
98795,38574,0
98803,67230,0
97135,16292,0
67465,72522,0
62652,79499,0
28265,77545,0
28628,21286,0
46122,14086,0
68864,15022,0
99994,85491,0
42808,1545,0
37979,63152,0
88438,18448,0
59954,55946,0
64006,24274,0
18959,35951,0
52638,72285,0
372,12179,0
81153,58142,0
47116,46776,0
50656,49438,0
44701,80485,0
56988,11767,0
2107,2971,0
2923,15644,0
54129,19841,0
14075,74972,0
26287,12119,0
4526,66209,0
11490,40008,0
89816,49792,0
53083,17456,0
16597,69848,0
98106,68360,0
4135,59539,0
97322,90111,0
19168,68383,0
57083,19361,0
80356,66832,0
96423,48087,0
4179,65956,0
49097,20962,0
63095,15099,0
91520,37826,0
89668,70869,0
5740,40183,0
38754,39995,0
26275,60460,0
55123,13776,0
23387,90453,0
72074,82594,0
56067,42758,0
91627,19162,0
41459,66752,0
72301,6636,0
49730,37303,0
78804,73224,0
57414,3106,0
55034,42490,0
6397,3671,0
14417,20653,0
86850,67956,0
39899,12603,0
56048,82189,0
81047,7201,0
40468,33595,0
16768,62323,0
90876,34216,0
29231,92708,0
64988,57888,0
72422,16480,0
84308,66327,0
65310,83125,0
60281,13420,0
56029,17474,0
82702,81382,0
50669,21227,0
7425,16509,0
41914,27444,0
3873,67660,0
36009,56159,0
46497,15430,0
95768,96094,0
85666,2293,0
54338,24962,0
84011,46555,0
9089,68647,0
11919,11011,0
2927,40512,0
37936,41054,0
25958,16412,0
57057,81688,0
16643,8974,0
79493,82443,0
60811,83036,0
84438,3180,0
70817,35243,0
62520,56203,0
19611,13808,0
78712,97309,0
79584,27165,0
71246,54611,0
69295,70701,0
44381,37694,0
90819,44499,0
57095,27586,0
11933,82217,0
26740,68899,0
27230,84612,0
91294,49102,0
10073,12099,0
1582,81181,0
67037,63547,0
66579,4315,0
13468,18478,0
3286,50722,0
49323,69141,0
59485,46914,0
74552,25254,0
22946,7645,0
17224,35985,0
29925,75759,0
6208,94341,0
37794,87297,0
25426,78375,0
43032,61073,0
9619,93725,0
40283,79422,0
32988,26476,0
93014,12413,0
46030,36619,0
80692,96628,0
52261,19413,0
90219,99293,0
21428,64201,0
98112,68718,0
54451,7631,0
52970,85389,0
99538,66819,0
35346,38090,0
71656,10312,0
42178,85328,0
87273,97320,0
34719,34885,0
44682,87151,0
23608,36471,0
55427,86668,0
23636,35872,0
63626,75843,0
97524,99929,0
50518,84899,0
83611,1103,0
74842,14069,0
61777,12187,0
53451,88441,0
25049,37966,0
12266,22806,0
63987,30581,0
81667,27204,0
33317,89291,0
802,42365,0
2042,54825,0
94732,99972,0
57271,63815,0
54327,88376,0
28216,53655,0
88573,47846,0
36724,27092,0
11221,2233,0
53938,15065,0
93058,57376,0
2545,93535,0
87466,60972,0
28953,97209,0
30754,3866,0
88508,20674,0
66780,3893,0
38462,94773,0
55769,42110,0
43206,38611,0
21026,6254,0
55831,47459,0
58692,83323,0
88034,45450,0
12265,9638,0
15922,96048,0
34260,16665,0
93124,88450,0
89849,68182,0
14699,41577,0
68567,22659,0
80899,10230,0
24645,10011,0
12015,42052,0
86246,12354,0
8795,32879,0
84164,15290,0
57232,13745,0
86711,64840,0
18726,65957,0
49059,22915,0
49279,55932,0
15988,82150,0
11783,55689,0
2067,61553,0
62816,69704,0
91304,24148,0
88848,71210,0
64300,88460,0
72668,41475,0
21823,44675,0
92186,35683,0
68780,61350,0
33622,42016,0
12928,85304,0
46968,30524,0
33747,59554,0
46055,38894,0
47018,58092,0
24624,60589,0
47088,40997,0
21414,87098,0
53573,70643,0
42621,57837,0
42993,16690,0
25028,28342,0
87035,4421,0
63792,20131,0
66711,40021,0
35118,19043,0
73491,77538,0
82051,1550,0
41071,65879,0
76985,94827,0
91149,27275,0
75003,47411,0
49384,72238,0
19940,64138,0
39152,80402,0
3380,94992,0
65421,84254,0
58719,34669,0
43003,22420,0
8226,46071,0
48696,28068,0
20659,54207,0
55002,56987,0
45347,37969,0
27710,23543,0
51442,65477,0
43428,1647,0
77181,92482,0
64787,75647,0
9751,42074,0
10798,35127,0
74319,23573,0
18435,43498,0
7094,67599,0
67197,60574,0
19296,57098,0
70898,41233,0
70171,86535,0
25334,5570,0
68340,60662,0
19148,3962,0
79865,72439,0
25838,48469,0
87665,50760,0
51370,20979,0
54537,65892,0
26323,24757,0
58423,81225,0
69275,43119,0
72196,43994,0
44254,79886,0
87906,40765,0
51478,89460,0
23381,62525,0
78497,33305,0
33459,73015,0
76011,19913,0
23776,13158,0
96934,72342,0
38790,66175,0
62258,49329,0
36316,99377,0
17359,34685,0
1429,58503,0
68081,18182,0
3253,84882,0
16744,3108,0
22411,64002,0
10594,60614,0
68432,21442,0
7478,27155,0
27443,24006,0
76396,78865,0
88696,48438,0
44440,3124,0
90319,57030,0
37534,78571,0
25723,20376,0
43430,68801,0
23936,18816,0
78835,58256,0
22144,22515,0
55256,62113,0
78118,33052,0
33208,7548,0
4709,87277,0
26645,52734,0
43156,31814,0
33613,63561,0
31292,89295,0
86962,22593,0
58828,16317,0
31272,11088,0
86827,87986,0
41287,20560,0
85075,92495,0
18956,76305,0
26730,30968,0
20833,8171,0
25302,47719,0
